# Oracle Linux 5

## Sustaining Support

Spacewalk Server 2.7 for Oracle Linux 6 (x86_64)	ol6_x86_64_spacewalk27_server	All Spacewalk Server 2.7 packages released for Oracle Linux 6 (x86_64).	312

Oracle Instant Client for Oracle Linux 6 (x86_64) - License Included	ol6_x86_64_oracle_instantclient	Oracle Instant Client packages for Oracle Linux 6 (x86_64) .	14
Oracle Software for Oracle Linux 6 (i386)	ol6_i386_oracle	Oracle Software for Oracle Linux 6 (i386)	5
Oracle Software for Oracle Linux 6 (x86_64)	ol6_x86_64_oracle	Oracle Software for Oracle Linux 6 (x86_64)	5

HA Utilities for MySQL and Oracle Linux 6 (x86_64)	ol6_x86_64_mysql-ha-utils	Management Utilities for MySQL HA with Oracle Linux 6	2
HA Utilities for MySQL and Oracle Linux 6 (x86)	ol6_i386_mysql-ha-utils	Management Utilities for MySQL HA with Oracle Linux 6	1
MySQL 5.5 for Oracle Linux 6 (i386)	ol6_i386_MySQL	Latest MySQL packages released on the Oracle Linux 6 (i386).	18
MySQL 5.5 for Oracle Linux 6 (x86_64)	ol6_x86_64_MySQL	Latest MySQL packages released on the Oracle Linux 6 (x86_64).	24
MySQL 5.6 for Oracle Linux 6 (i386)	ol6_i386_MySQL56	Latest MySQL 5.6 packages for Oracle Linux 6 (i386).	10
MySQL 5.6 for Oracle Linux 6 (x86_64)	ol6_x86_64_MySQL56	Latest MySQL 5.6 packages for Oracle Linux 6 (x86_64).	16
MySQL 5.7 for Oracle Linux 6 (i386)	ol6_i386_MySQL57_community	Latest MySQL 5.7 packages for Oracle Linux 6 (i386).	9
MySQL 5.7 for Oracle Linux 6 (x86_64)	ol6_x86_64_MySQL57_community	Latest MySQL 5.7 packages for Oracle Linux 6 (x86_64).	15
MySQL 8.0 for Oracle Linux 6 (i386)	ol6_i386_MySQL80_community	Latest MySQL 8.0 packages for Oracle Linux 6 (i386).	11
MySQL 8.0 for Oracle Linux 6 (x86_64)	ol6_x86_64_MySQL80_community	Latest MySQL 8.0 packages for Oracle Linux 6 (x86_64).	15

Oracle OpenStack 1.0 (x86_64)	ol6_x86_64_openstack10	Latest for Oracle OpenStack version 1.0 (Icehouse).	317
Oracle OpenStack 2.1 for Oracle Linux 6 (x86_64)	ol6_x86_64_openstack21	Latest for Oracle OpenStack version 2.1 for Oracle Linux 6 (x86_64)	32
Oracle OpenStack 3.0 for Oracle Linux 6 (x86_64)	ol6_x86_64_openstack30	Latest for Oracle OpenStack version 3.0	12
Oracle OpenStack 4.0 for Oracle Linux 6 (x86_64)	ol6_x86_64_openstack40	Latest Packages for Oracle OpenStack version 4.0	12

Oracle Linux 6 Archive (i386)	ol6_i386_latest_archive	Archived packages for Oracle Linux 6 (i386)	5637
Oracle Linux 6 Archive (x86_64)	ol6_x86_64_latest_archive	Archived packages for Oracle Linux 6 (x86_64)	7349

Oracle Linux 6 ELS (i386)	ol6_i386_ELS	All packages released for Oracle Linux 6 Extended Lifecycle Support (i386).	167
Oracle Linux 6 ELS (x86_64)	ol6_x86_64_ELS	All packages released for Oracle Linux 6 Extended Lifecycle Support (x86_64).	207
Ksplice for Oracle Linux 6 - ELS (i386)	ol6_i386_ksplice_ELS	Oracle Ksplice Updates for Oracle Linux 6 - ELS (i386).	14
Ksplice for Oracle Linux 6 - ELS (x86_64)	ol6_x86_64_ksplice_ELS	Oracle Ksplice Updates for Oracle Linux 6 - ELS (x86_64).	261

## Installation Media Packages

Oracle Linux 6 GA (i386)	ol6_ga_i386_base	All packages released for Oracle Linux 6 GA (i386). No errata included.	4544
Oracle Linux 6 GA (x86_64)	ol6_ga_x86_64_base	All packages released for Oracle Linux 6 GA (x86_64). No errata included.	6010
Oracle Linux 6 Update 1 installation media copy (i386)	ol6_u1_i386_base	All packages released on the Oracle Linux 6 Update 1 (i386) installation media. This channel does not contain updates.	4647
Oracle Linux 6 Update 1 installation media copy (x86_64)	ol6_u1_x86_64_base	All packages released on the Oracle Linux 6 Update 1 (x86_64) installation media. This channel does not contain updates.	6148
Oracle Linux 6 Update 2 installation media copy (i386)	ol6_u2_i386_base	All packages released on the Oracle Linux 6 Update 2 (i386) installation media. This channel does not contain updates.	4744
Oracle Linux 6 Update 2 installation media copy (x86_64)	ol6_u2_x86_64_base	All packages released on the Oracle Linux 6 Update 2 (x86_64) installation media. This channel does not contain updates.	6279
Oracle Linux 6 Update 3 installation media copy (i386)	ol6_u3_i386_base	All packages released on the Oracle Linux 6 Update 3 (i386) installation media. This channel does not contain updates.	4780
Oracle Linux 6 Update 3 installation media copy (x86_64)	ol6_u3_x86_64_base	All packages released on the Oracle Linux 6 Update 3 (x86_64) installation media. This channel does not contain updates.	6324
